Version checked: updated 
Download setup initialized...
newcards.ydk downloaded from repository 
Download setup done. Downloading newcards.ydk...
10028503 downloaded [14/62]
100286003 downloaded [9/62]
10028504 downloaded [18/62]
100286020 downloaded [5/62]
100286002 downloaded [7/62]
101108052 downloaded [3/62]
57511992 downloaded [4/62]
101108034 downloaded [2/62]
100286001 downloaded [8/62]
100286004 downloaded [6/62]
101108069 downloaded [1/62]
100286019 downloaded [12/62]
100286017 downloaded [11/62]
100286018 downloaded [10/62]
84546257 downloaded [17/62]
61374414 downloaded [13/62]
100343041 downloaded [16/62]
100343032 downloaded [19/62]
100343042 downloaded [15/62]
100343031 downloaded [20/62]
88962829 downloaded [34/62]
40633084 downloaded [33/62]
23931679 downloaded [26/62]
97769122 downloaded [23/62]
87240371 downloaded [36/62]
20295753 downloaded [29/62]
25573115 downloaded [38/62]
61496006 downloaded [25/62]
5916510 downloaded [27/62]
101106082 downloaded [32/62]
50855622 downloaded [28/62]
98881700 downloaded [22/62]
51578214 downloaded [37/62]
60158866 downloaded [21/62]
48784854 downloaded [30/62]
23153227 downloaded [24/62]
13234975 downloaded [35/62]
82184400 downloaded [39/62]
14357527 downloaded [31/62]
20934852 downloaded [49/62]
60948488 downloaded [40/62]
81555617 downloaded [58/62]
21057444 downloaded [46/62]
57541158 downloaded [47/62]
57329501 downloaded [48/62]
69436288 downloaded [55/62]
58203736 downloaded [50/62]
95824983 downloaded [51/62]
83723605 downloaded [44/62]
96546575 downloaded [52/62]
100343001 downloaded [43/62]
82777208 downloaded [59/62]
19712214 downloaded [45/62]
77683371 downloaded [57/62]
22819092 downloaded [54/62]
95602345 downloaded [53/62]
100343003 downloaded [42/62]
12266229 downloaded [56/62]
34876719 downloaded [41/62]
95664204 downloaded [60/62]
45064756 downloaded [62/62]
6909330 downloaded [61/62]
Download completed 
Program exited 
